name,username,image,date,desc
TEGUH NH,@teguh_hteguh2,https://nitter.moomoo.me/pic/profile_images%2F1476364339195957248%2FvlIhRkg-_bigger.jpg,"Jan 6, 2024 Â· 11:40 PM UTC",Ustadz Muda: TitTok Abah dan Desak Anies Digemari Mahasiswa Universitas Al-Azhar Kairo kbanews.com/hot-news/ustadz-â€¦
Andri Priambodo,@aandriprm,https://nitter.moomoo.me/pic/profile_images%2F1715599523098316800%2FOqh2tT-D_bigger.jpg,"Jan 6, 2024 Â· 11:39 PM UTC","Mau negara maju tapi cawapresnya Cak Duren, enggak nyambung kan? @mudjajin 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
@Mbok_Srintil,@Andria75777,https://nitter.moomoo.me/pic/profile_images%2F1732532476558643200%2FCrJrokeq_bigger.jpg,"Jan 6, 2024 Â· 11:38 PM UTC",NGERI NGERI SEDAP KUBU GANJAR PDIP MENEMUI ANIES AMIN ....???
Arie Sandjaya,@DahriYusnandar,https://nitter.moomoo.me/pic/profile_images%2F1729336907723878400%2F7FOXwMJ5_bigger.jpg,"Jan 6, 2024 Â· 11:36 PM UTC","jika Pak Anies dan Cak Imin di amanahkan oleh Rakyat sbg Presiden dan Wapres 2024-2029,maka selama sebulan ane akan bantu istri ane cuci pakaian,cuci piring,bersih2 rumah,masak air di pagi hariğŸ’ª
#nazarpemilu"
Galuh Pratama,@gaaluhprtama,https://nitter.moomoo.me/pic/profile_images%2F1715595974037626880%2Fty5ByWCf_bigger.jpg,"Jan 6, 2024 Â· 11:34 PM UTC","Ceper kok keras kepala ya? Keras doang kepala tapi otaknya kecil banget! @MulkisPohan 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
@Mbok_Srintil,@Andria75777,https://nitter.moomoo.me/pic/profile_images%2F1732532476558643200%2FCrJrokeq_bigger.jpg,"Jan 6, 2024 Â· 11:33 PM UTC",Mobil Team Sucses Anies 01 sedang kumpul pengajian dikempes dinas Dishub Medan atas Perintah Boby Walikota Medan
#CerdasMemilih,@SuaraZillennial,https://nitter.moomoo.me/pic/profile_images%2F1722581810897727488%2FzgNle-Ys_bigger.jpg,"Jan 6, 2024 Â· 11:33 PM UTC","#nazarpemilu Kalau Pak Anies menang, aku yang imut
 Ini akan turun ke jalan convoi #UntukPerubahan"
dilan da kantuk ğŸ�£âƒ¢ğŸ�—âƒ¢ğŸ�£âƒ¢ğŸ�¿ï¸�âƒ¢ğŸ�£âƒ¢ğŸ¦šâƒ¢ğŸ�£,@txtdsritxt,https://nitter.moomoo.me/pic/profile_images%2F1329389083890577408%2FnlM-WiUO_bigger.jpg,"Jan 6, 2024 Â· 11:31 PM UTC","baru bgt baca-baca contract farming anies yg udah diterapin di Jakarta, dan katanya bakal jadi salah satu program kerja dibidang agriculture kalau terpilih jadi presiden. 

gua punya harapan besar nih kalau diterapin buat ayam broiler, domba, sama sapi."
Muhammad Rasya,@mhmmdrsssyaa,https://nitter.moomoo.me/pic/profile_images%2F1712475267422359552%2FJpquxwDP_bigger.jpg,"Jan 6, 2024 Â· 11:30 PM UTC","Rasanya enggak pantas banget sih Cak Duren jadi pemimpin di negeri ini @_TIONO_TIONO_ 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Laros SA ID 0000240,@Matinokhoirudi2,https://nitter.moomoo.me/pic/profile_images%2F1656520685110558726%2FbPnwSNB2_bigger.jpg,"Jan 6, 2024 · 11:28 PM UTC","Alhamdulillah acara anggap wayang tadi mlm , hari Sabtu 6 Januari 2024 dlm rangka hari ulang tahun ke 8 KPSBN bersama simpul relawan AMIN se kabupaten Banyuwangi  dan para Caleg partai Pengusung AMIN berjalan lancar dan sukses . Tuan rumah acara adalah team dr Sobat Anies Bwi."
Darwin Miftah,@darwinmfth,https://nitter.moomoo.me/pic/profile_images%2F1714296886386147328%2FfCr4dOxf_bigger.jpg,"Jan 6, 2024 · 11:27 PM UTC","Jika saja ada sosok pemimpin yang lebih peduli pada nasib bangsa, maka kita tidak akan terjebak dalam kepemimpinan buruk seperti yang ditunjukkan oleh Cak Imin @nahi_munkar_ Malming Abah Anies Cak Imin Kalau AMIN #nazarpemilu #AMINajaDulu #MulutManisAnies x.com/kompascom/status/17436…"
Eni Winang,@eniwinanggg,https://nitter.moomoo.me/pic/profile_images%2F1710223210044866560%2FIjLG8uuB_bigger.jpg,"Jan 6, 2024 · 11:27 PM UTC","Temen-temen sekalian, apakah ada solusi lain yang lebih baik daripada membiarkan seorang penguasa rakus seperti ini tetap ada? @pujiono74074850 Malming Abah Anies Cak Imin Kalau AMIN #nazarpemilu #AMINajaDulu #MulutManisAnies x.com/kompascom/status/17436…"
Nadia Febrian,@nadiafbrian,https://nitter.moomoo.me/pic/profile_images%2F1715285854346973184%2FuBSZvlbB_bigger.jpg,"Jan 6, 2024 · 11:27 PM UTC","Saking seringnya blunder, orang lupa kalau dia cawapres! @cintarossul 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436…"
Yurino Irwanto,@yurinoirwnt,https://nitter.moomoo.me/pic/profile_images%2F1713943017894416384%2FQpP4ujZO_bigger.jpg,"Jan 6, 2024 · 11:27 PM UTC","Mungkin kalau udah gagal paham soal pentingnya alusista buat pertahanan negara, sebaiknya mundur saja dari jabatan sebagai pemimpin @HarrisBarus Malming Abah Anies Cak Imin Kalau AMIN #nazarpemilu #AMINajaDulu #MulutManisAnies x.com/Metro_TV/status/174330…"
Hardani kikiansyah,@hardanikikians_,https://nitter.moomoo.me/pic/profile_images%2F1712844009516007424%2FJoX9kU9q_bigger.jpg,"Jan 6, 2024 · 11:27 PM UTC","Nggak heran sih banyak orang yg ga setuju sama kepemimpinan cak duren, soalnya emang kurang layak jadi pimpinan @cilokbledex 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436…"
Saskia Rosa,@RosaSaskiaxz,https://nitter.moomoo.me/pic/profile_images%2F1714579558077530112%2FEBgqUgY0_bigger.jpg,"Jan 6, 2024 · 11:27 PM UTC","Rasanya capek deh lihat sosok seperti cak duren yang cuma merugikan negara aja @abee45472430357 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330…"
Barra Zayyan,@barrazyyn,https://nitter.moomoo.me/pic/profile_images%2F1712102346694815744%2FaH1vTgve_bigger.jpg,"Jan 6, 2024 · 11:27 PM UTC","Eh Cak Duren, daripada bikin blunder mulu mending ngurung diri di dalem duren deh! @irhamwp98 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330…"
Putri Zihan,@PutriZZihann,https://nitter.moomoo.me/pic/profile_images%2F1710909972224368640%2Ff_YNOycC_bigger.jpg,"Jan 6, 2024 · 11:27 PM UTC","Anggaran alusista disetujui oleh Cak Duren ketika menjadi anggota DPR, tapi entah kenapa sekarang dia malah tidak konsisten dengan pernyataannya sendiri @Kyaraliciously Malming Abah Anies Cak Imin Kalau AMIN #nazarpemilu #AMINajaDulu #MulutManisAnies x.com/Metro_TV/status/174330…"
Wulan Lestari,@wulanlestaries,https://nitter.moomoo.me/pic/profile_images%2F1711683575186341888%2F38zPEhIg_bigger.jpg,"Jan 6, 2024 · 11:26 PM UTC","Bagaimana mungkin kita bisa percaya pada sosok seperti Cak Duren yang terbukti tidak kompeten dalam memimpin? @laksmurni 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436…"
Fatwa Raihan,@raihanfatwaa,https://nitter.moomoo.me/pic/profile_images%2F1712010315058290688%2Fp1eLMfUg_bigger.jpg,"Jan 6, 2024 · 11:26 PM UTC","Wah, cak duren ini bener-bener gagal paham ya soal alusista pertahanan negara @operiatna 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436…"
Gunawan kamandanu,@gunwnkamandanu_,https://nitter.moomoo.me/pic/profile_images%2F1712858125966172160%2Ft84J4HOJ_bigger.jpg,"Jan 6, 2024 · 11:26 PM UTC","Sosok yang merugikan negara itu namanya Cak Duren, karena nggak bisa memenuhi kebutuhan pertahanan negara dengan baik @Uge41429711 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330…"
Fauzan Saputra,@fauzansapuutra,https://nitter.moomoo.me/pic/profile_images%2F1712367420567068672%2FIvwBZ-nY_bigger.jpg,"Jan 6, 2024 Â· 11:26 PM UTC","Gimana mau maju kalau punya pemimpin kayak gini? Mending cari alternatif lain deh! @ACilebut 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Sisca febriana,@Siscafebriantix,https://nitter.moomoo.me/pic/profile_images%2F1712061491959283712%2FA1XwTpmW_bigger.jpg,"Jan 6, 2024 Â· 11:26 PM UTC","Waduh, negara kita bener-bener dirugikan sama sosok seperti dia nih @DatuMataya 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Marcel Gunawan,@mrclgnwnn,https://nitter.moomoo.me/pic/profile_images%2F1715546483884478464%2FIjdVTbzZ_bigger.jpg,"Jan 6, 2024 Â· 11:25 PM UTC","Cak Kardus jangan jadi sampah masyarakat dong, belajar lagi sana! @muchri24l1 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Haikal Zidan,@HaikalZida,https://nitter.moomoo.me/pic/profile_images%2F1712389004077998080%2F_dTYRJca_bigger.jpg,"Jan 6, 2024 Â· 11:25 PM UTC","Coba deh kalau udah mikirin nasib rakyat dan bangsa sendiri, pasti nggak bakal seenegatif itu keputusan-keputusan dari cak duren ini! @soleh_sugianto Malming Abah Anies Cak Imin Kalau AMIN #nazarpemilu #AMINajaDulu #MulutManisAnies x.com/Metro_TV/status/174330â€¦"
Elvia Anata,@elvianataaa,https://nitter.moomoo.me/pic/profile_images%2F1714290417112674304%2Fjij2nqLu_bigger.jpg,"Jan 6, 2024 Â· 11:25 PM UTC","Pembelian alat perang yang tidak sesuai kebutuhan hanya menunjukkan betapa tidak kompetennya Cak Duren dalam memimpin negara ini @arahim_les 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436â€¦"
Diva Zaki,@DivaZakiii,https://nitter.moomoo.me/pic/profile_images%2F1712108789879717888%2F789SVW_G_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Cuma lihat kekuasaan doang, tapi kemampuan memimpin di mana? Nggak ada sama sekali! @Suprianto187 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
ğ�•�ğ�•’ğ�•Ÿğ�•¥ğ�•¦ğ�•Ÿğ�•˜ğ�•¡ğ�•šğ�•¤ğ�•’ğ�•Ÿğ�•˜,@mbahjhojho,https://nitter.moomoo.me/pic/profile_images%2F1742232659391344640%2FtJ_15U4q_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Jangan takut dibenci, yang penting kewajiban sebagai kawan sudah kita lakukan...
Mendukung sewajarnya..
Mencintai secukupnya..
Mengharap ridho Alloh bukan mengundang murka Alloh..

Tetap senyum dan tetap optimis...
Tetap mendukung untuk kemenangan mas anies..ğŸ˜ŠğŸ˜ŠğŸ’œğŸ’œğŸ’œ"
Mirna Safitri,@MirnaSafittri,https://nitter.moomoo.me/pic/profile_images%2F1711713356191870976%2FDn26vuAR_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Negara harusnya dipimpin oleh orang-orang yang berpikir kepentingan bangsa bukan kepentingan diri sendiri seperti cak duren @muhfachmi13 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Heri Wijaya,@heriwijayav,https://nitter.moomoo.me/pic/profile_images%2F1711984531115585536%2FZ4m2fi_K_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Belum sempurna pagi sudah ada blunder dari Ceper @abi_daawud 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436â€¦"
Marni Endang,@EndangMarni,https://nitter.moomoo.me/pic/profile_images%2F1710247849219457024%2F6OcMDm1u_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Nanti kalau diaplikasikan esensinya apakah efektif ? @xolovesnaya 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436â€¦"
Melisa Ayu,@melisayuuuu,https://nitter.moomoo.me/pic/profile_images%2F1712014515670585344%2FStmeHNJQ_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Cak Duren ini memang pahamnya cuma buat jualan durian, soal alusista malah gagal paham @jaya1perkasa 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Monica Azarni,@monikazarni,https://nitter.moomoo.me/pic/profile_images%2F1711695198169001984%2F9FucyFLc_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Negara ini butuh pemimpin yang punya visi jelas bukan cuma ngejar kekuasaan doang kayak cak duren ini @Ali7137715069 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Fabian Rayshiva,@fabianrshva,https://nitter.moomoo.me/pic/profile_images%2F1712115710103805952%2FbWuHMmZ4_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Bisakah kita percaya pada penguasa seperti ini ? @AbdHali59646742 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436â€¦"
Tiara najwaazani,@tiaranajwaazani,https://nitter.moomoo.me/pic/profile_images%2F1711688994520764416%2Fle824Gga_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Kita butuh pemimpin yang bisa bikin negara kita maju, bukan cuma merugikan aja kayak cak duren ini! @el_qisthi 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Adelia Adriana,@adeliadrna,https://nitter.moomoo.me/pic/profile_images%2F1712100895423696896%2F_WlXV-5g_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Cak Kardus suka nyetir tapi enggak bisa baca petunjuk arah, akhirnya salah jalan mulu @GLOCKhilaf_47 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Chahna Darshwana,@chahnaadars,https://nitter.moomoo.me/pic/profile_images%2F1701870692583755776%2F-u1KqqD1_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Walaupun semua orang tau dia itu bukan siapa-siapa namun kenapa masih ada aja yang bilang itu cuma fitnah @iiirman 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436â€¦"
Teza wildanaditya,@tezawildanadtya,https://nitter.moomoo.me/pic/profile_images%2F1712848765802147840%2Fc7mfOI_X_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Semoga cepet ada perubahan di kepemimpinan kita supaya bisa lebih baik lagi kedepannya @Sianakmami 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436â€¦"
Bulan Lestari,@Bulannnlstr,https://nitter.moomoo.me/pic/profile_images%2F1712010181901774849%2F4mHAQ3AC_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Seriuslah bukankah sudah waktunya berubah jika penguasa seperti dia masih diberi kesempatan untuk bertindak lagi? @RoemahDjoeang45 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436â€¦"
Susilo Agus,@SusiloAgusx,https://nitter.moomoo.me/pic/profile_images%2F1714621078188986368%2FwxWNrA8M_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Bahkan orang dalem sekalipun takut sama dia karena sifat rakusnya @pkstaposdepok 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436â€¦"
Agus Supriyadi,@AgussSupriyadii,https://nitter.moomoo.me/pic/profile_images%2F1711668539688669184%2Fz6iS1G4h_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Menjadi anggota DPR seharusnya membuat Cak Imin lebih paham akan pentingnya alokasi anggaran secara bijaksana, namun nyatanya dia malah melakukan pemborosan @SulthanID Malming Abah Anies Cak Imin Kalau AMIN #nazarpemilu #AMINajaDulu #MulutManisAnies x.com/kompascom/status/17436â€¦"
Tara Pratiwi,@tarapratiiwii,https://nitter.moomoo.me/pic/profile_images%2F1712370450335248384%2FyMWKw2Hm_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Yang ada dia malah bikin kita semakin terpuruk dengan keputusannya yang ngawur @pratidinanto1 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
fauzannErwin,@FauzannErwinnn,https://nitter.moomoo.me/pic/profile_images%2F1712106119966187520%2FmsFSLQjI_bigger.jpg,"Jan 6, 2024 Â· 11:24 PM UTC","Udah gagal paham soal pembelian alusista aja masih mau jadi pemimpin, emangnya Cak Duren punya bakat apapun? @Cerita_Puspa 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Bayu Nugroho,@BayuNugrohoq,https://nitter.moomoo.me/pic/profile_images%2F1712061388099870720%2FNGm6dZ_6_bigger.jpg,"Jan 6, 2024 Â· 11:23 PM UTC","Cekrek! Cak Duren ketahuan lagi main-main sama anggaran alusista buat kepentingannya sendiri! @gendut71teng2 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Zara Lestari,@ZaraLestri,https://nitter.moomoo.me/pic/profile_images%2F1712389008133898240%2FnZ9iHZeS_bigger.jpg,"Jan 6, 2024 Â· 11:22 PM UTC","Hadeuh, masa sih masih ada orang-orang bodoh yang dukung sosok seperti dia? Mungkin mereka juga kurang paham pentingnya pertahanan negara ya? @Culunsejati1 Malming Abah Anies Cak Imin Kalau AMIN #nazarpemilu #AMINajaDulu #MulutManisAnies x.com/Metro_TV/status/174330â€¦"
Zaskia Putri,@zaskiaputriiie,https://nitter.moomoo.me/pic/profile_images%2F1712024128050606080%2FN0R-PwJz_bigger.jpg,"Jan 6, 2024 Â· 11:21 PM UTC","Bener-bener rakus dengan kekuasaannya sampai-sampai lupa tugasnya sebagai pemimpin untuk melindungi rakyat dan negara @TunggalSRegar 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436â€¦"
Asep Yono,@Asepyonooo,https://nitter.moomoo.me/pic/profile_images%2F1712332907099099136%2FHRdOVxMc_bigger.jpg,"Jan 6, 2024 Â· 11:21 PM UTC","Cak duren ini emang engga pantas jadi pemimpin, udah kelihatan dari sikapnya yg kurang bertanggung jawab tentang alusista itu @kenn_maizz 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Fatma Ayunda,@fatmayundac,https://nitter.moomoo.me/pic/profile_images%2F1711679419843272704%2Frc57P7VQ_bigger.jpg,"Jan 6, 2024 Â· 11:21 PM UTC","Siapa sih yang mau dengerin omongan penjual martabak seperti Cak Kardus? @Bharata_ja 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436â€¦"
Yosep Candra,@yosepcandraaa,https://nitter.moomoo.me/pic/profile_images%2F1714285411680571392%2F6evmKRkg_bigger.jpg,"Jan 6, 2024 Â· 11:21 PM UTC",Sudah saatnya kita berani mengevaluasi kualitas kepemimpinan di negeri ini agar bangsa ini dapat maju tanpa adanya sosok rakus dan merugikan seperti Cak Imin @Humairah_922 Malming Abah Anies Cak Imin Kalau AMIN #nazarpemilu #AMINajaDulu #MulutManisAnies x.com/kompascom/status/17436â€¦
Haikal Akbar,@HaikalAfxs,https://nitter.moomoo.me/pic/profile_images%2F1711673524392460288%2FcjGoA8GT_bigger.jpg,"Jan 6, 2024 Â· 11:21 PM UTC","Hadeuh, masa sih pemimpin kayak gini bisa dipercaya? Udah terbukti gagal paham soal pentingnya pertahanan negara aja! @su_surahman 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
Ghaffar Nugraha,@ghffrnugraha,https://nitter.moomoo.me/pic/profile_images%2F1712119999983443968%2FaWC6VwiZ_bigger.jpg,"Jan 6, 2024 Â· 11:21 PM UTC","Kapan sih kita mulai melihat kemampuan asli kepemimpinan Cak Duren? @m24hHarahap 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436â€¦"
Agil Fadilah,@agilfdlhh,https://nitter.moomoo.me/pic/profile_images%2F1703808140125536256%2F8A23Vm-G_bigger.jpg,"Jan 6, 2024 · 11:21 PM UTC","Semakin dalam kita mengamati semakin terbuka bahwa Cak Duren ini jelas tidak cocok memegang kendali @Hasbab9 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436…"
Gilang raharja,@gilangraharja79,https://nitter.moomoo.me/pic/profile_images%2F1711688349738766336%2FoSvSS_iH_bigger.jpg,"Jan 6, 2024 · 11:21 PM UTC","Kalau memang gini caranya memimpin, mending kita cari sosok lain yang lebih peduli sama nasib bangsa ini @gurutua7 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330…"
Abi Cahya,@AbiiicahhaaaAbi,https://nitter.moomoo.me/pic/profile_images%2F1712460184206102528%2FDsmXLPWS_bigger.jpg,"Jan 6, 2024 · 11:21 PM UTC","Nggak heran deh kalau banyak yang bilang Cak Duren gagal dalam memimpin @atet21102083 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330…"
Ajeng Syafilla,@AjengSyafiliav,https://nitter.moomoo.me/pic/profile_images%2F1714621469182087168%2FRPtdbn2p_bigger.jpg,"Jan 6, 2024 · 11:21 PM UTC","Memang ada yang salah dalam kepemimpinannya @pejuang_subuh09 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436…"
Ayulita sucijuwita,@ayulitasuciii,https://nitter.moomoo.me/pic/profile_images%2F1712847407883698176%2FZYszVLbw_bigger.jpg,"Jan 6, 2024 · 11:21 PM UTC","Ya Allah, nasib bangsa ini kalau masih ada sosok cak duren yang merugikan negara seperti ini! @khaerudin_rical 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/kompascom/status/17436…"
